timestamp,payload_bytes,cell_count
# vantage=orchestrator_wall_clock_at_client_invoke
# capture=multiprocess_tcp_testnet path_len=4 n_sends=48 ports=[54047, 54048, 54049, 54050] relay_ids=['0100000000000000000000000000000000000000000000000000000000000000', '0200000000000000000000000000000000000000000000000000000000000000', '0300000000000000000000000000000000000000000000000000000000000000', '0400000000000000000000000000000000000000000000000000000000000000']
1784270876.081350,32,18
1784270876.293453,49,18
1784270876.470627,66,18
1784270876.716005,83,18
1784270876.951046,100,18
1784270878.787512,117,18
1784270880.282029,134,18
1784270881.627198,151,18
1784270884.787263,168,18
1784270886.072295,185,18
1784270889.417669,202,18
1784270892.067718,219,18
1784270892.245244,236,18
1784270892.422833,253,18
1784270892.618863,45,18
1784270892.844264,62,18
1784270894.714509,79,18
1784270897.708057,96,18
1784270901.102471,113,18
1784270902.174000,130,18
1784270905.455629,147,18
1784270907.324283,164,18
1784270911.267606,181,18
1784270911.551190,198,18
1784270911.779207,215,18
1784270912.065410,232,18
1784270912.308836,249,18
1784270913.255885,41,18
1784270914.840291,58,18
1784270917.489978,75,18
1784270919.808684,92,18
1784270921.873323,109,18
1784270923.435448,126,18
1784270925.239355,143,18
1784270925.494893,160,18
1784270925.689420,177,18
1784270925.882599,194,18
1784270926.150087,211,18
1784270927.463452,228,18
1784270929.855076,245,18
1784270932.194120,37,18
1784270935.586885,54,18
1784270937.593385,71,18
1784270938.691794,88,18
1784270941.498517,105,18
1784270941.703053,122,18
1784270941.972582,139,18
1784270942.167207,156,18
