timestamp,payload_bytes,cell_count,send_ok
# vantage=client_send_wall_clock
# capture=malicious_flood path_len=4 n_sends=80 gap_ms=2
# relay_stats forwarded=80 integrity_err=0 dropped=0 send_errors=0
1783847371.509072,111,18,1
1783847371.594693,106,18,1
1783847371.682718,37,18,1
1783847371.763478,159,18,1
1783847371.851954,190,18,1
1783847371.934199,119,18,1
1783847372.011609,241,18,1
1783847372.098594,209,18,1
1783847372.180317,202,18,1
1783847372.264001,210,18,1
1783847372.354903,80,18,1
1783847372.439563,90,18,1
1783847372.535748,167,18,1
1783847372.623652,233,18,1
1783847372.706321,147,18,1
1783847372.806819,236,18,1
1783847372.897487,217,18,1
1783847372.983271,47,18,1
1783847373.065890,225,18,1
1783847373.144324,120,18,1
1783847373.229034,245,18,1
1783847373.317628,42,18,1
1783847373.396401,214,18,1
1783847373.478684,45,18,1
1783847373.585164,119,18,1
1783847373.694956,40,18,1
1783847373.777294,232,18,1
1783847373.867376,137,18,1
1783847373.955456,215,18,1
1783847374.038599,202,18,1
1783847374.120182,177,18,1
1783847374.209606,109,18,1
1783847374.296405,165,18,1
1783847374.388721,70,18,1
1783847374.482787,100,18,1
1783847374.561443,246,18,1
1783847374.648197,34,18,1
1783847374.740661,50,18,1
1783847374.829268,203,18,1
1783847374.921154,108,18,1
1783847375.008415,177,18,1
1783847375.098808,203,18,1
1783847375.184855,165,18,1
1783847375.282378,186,18,1
1783847375.362357,97,18,1
1783847375.455443,74,18,1
1783847375.552355,202,18,1
1783847375.634748,169,18,1
1783847375.719731,96,18,1
1783847375.809424,237,18,1
1783847375.906754,57,18,1
1783847375.997082,191,18,1
1783847376.084705,237,18,1
1783847376.171071,246,18,1
1783847376.265827,227,18,1
1783847376.363362,228,18,1
1783847376.462366,136,18,1
1783847376.564217,103,18,1
1783847376.651756,74,18,1
1783847376.752167,168,18,1
1783847376.837325,143,18,1
1783847376.916301,223,18,1
1783847377.017665,216,18,1
1783847377.103609,96,18,1
1783847377.187353,221,18,1
1783847377.272074,94,18,1
1783847377.361417,245,18,1
1783847377.466138,87,18,1
1783847377.567206,100,18,1
1783847377.654327,245,18,1
1783847377.753503,210,18,1
1783847377.852997,228,18,1
1783847377.952105,155,18,1
1783847378.039589,255,18,1
1783847378.133697,159,18,1
1783847378.226336,136,18,1
1783847378.325180,106,18,1
1783847378.409690,39,18,1
1783847378.503537,170,18,1
1783847378.609548,178,18,1
