timestamp,payload_bytes,cell_count
# vantage=client_send_wall_clock
# capture=in_process_tcp_testnet path_len=4 n_sends=48
1783845443.166946,66,18
1783845443.400831,111,18
1783845443.621654,152,18
1783845444.038678,47,18
1783845444.357229,76,18
1783845447.392925,245,18
1783845449.268358,54,18
1783845451.060642,242,18
1783845453.601839,146,18
1783845454.589218,134,18
1783845456.681612,60,18
1783845459.804425,206,18
1783845460.025403,78,18
1783845460.245074,153,18
1783845460.465791,181,18
1783845460.748223,138,18
1783845463.993901,196,18
1783845465.052671,224,18
1783845467.002767,114,18
1783845470.112094,180,18
1783845471.864826,189,18
1783845475.061814,90,18
1783845477.826928,254,18
1783845478.144706,36,18
1783845478.444070,155,18
1783845478.701939,38,18
1783845479.027325,107,18
1783845481.414426,120,18
1783845484.926262,40,18
1783845487.371639,78,18
1783845490.244761,124,18
1783845493.114794,117,18
1783845494.749403,101,18
1783845495.867179,211,18
1783845496.210310,193,18
1783845496.554902,115,18
1783845496.851129,177,18
1783845497.140728,33,18
1783845500.664035,213,18
1783845503.542539,57,18
1783845505.010162,111,18
1783845508.514461,180,18
1783845511.120356,162,18
1783845512.696150,121,18
1783845514.136767,85,18
1783845514.418063,214,18
1783845514.711634,53,18
1783845515.052197,193,18
